range,ranging_attempt_count,ranging_time_millisecond
0.88,104,108
1.17,644,662
1.99,428,441
2.12,374,385
2.51,536,552
2.57,104,108
2.34,103,107
3.37,103,107
2.06,50,53
2.11,212,219
1.97,266,274
1.69,157,163
1.53,158,164
1.33,212,219
0.66,1401,1439
0.38,428,441
0.45,50,53
0.48,49,52
0.41,159,165
0.47,49,52
0.68,104,108
1.63,212,219
1.29,103,107
0.71,1130,1161
0.67,50,53
1.16,536,552
1.74,50,53
1.68,50,53
1.60,374,385
1.66,212,219
1.75,49,52
2.62,428,441
1.83,50,53
2.20,266,274
2.19,50,53
2.00,427,440
2.02,104,108
2.08,211,218
2.12,49,52
2.03,103,107
1.99,103,107
1.95,157,163
1.84,535,550
1.90,211,218
1.93,50,53
2.07,103,107
1.69,103,107
1.45,482,496
1.38,49,52
1.17,482,496
1.12,49,52
1.20,428,441
1.08,49,52
1.09,104,108
1.13,104,108
0.99,49,52
0.89,374,385
0.94,49,52
0.95,428,441
0.93,103,107
0.95,212,219
2.03,1020,1048
2.13,158,164
2.06,49,52
1.90,482,496
1.97,265,273
2.11,481,495
1.83,481,495
1.80,103,107
1.76,265,273
1.75,50,53
1.65,643,661
1.70,265,273
1.70,104,108
1.64,103,107
1.45,373,384
1.51,50,53
1.43,104,108
1.47,103,107
1.44,49,52
1.50,50,53
2.04,374,385
1.90,481,495
2.13,103,107
1.67,49,52
1.51,158,164
1.68,212,219
1.65,265,273
1.48,913,938
1.56,319,329
1.69,374,385
2.14,535,551
2.28,50,53
2.15,104,108
1.87,373,384
1.86,49,52
1.68,428,441
1.63,49,52
1.56,428,441
1.54,103,107
1.55,50,53
1.70,427,440
1.70,158,164
1.58,157,163
1.69,320,331
1.66,749,772
1.64,49,52
1.54,212,220
1.47,211,218
1.42,49,52
1.49,50,53
1.26,211,219
1.17,211,218
1.28,104,108
1.42,211,218
1.23,480,495
0.71,318,329
0.77,104,108
0.77,588,607
0.92,49,52
0.74,50,53
0.96,211,219
1.46,750,773
1.53,211,219
0.82,103,107
1.67,211,219
0.93,372,384
1.15,211,219
1.32,426,440
1.63,265,274
1.67,103,107
2.07,211,219
2.00,372,384
1.96,373,385
1.96,49,52
2.13,265,274
2.22,50,53
2.37,804,829
2.22,159,165
1.98,372,384
1.99,50,53
1.79,266,275
1.69,49,52
1.28,211,219
1.61,104,108
1.57,319,330
1.57,50,53
1.30,211,219
1.16,50,53
1.11,374,386
0.88,211,218
0.64,588,607
0.60,50,53
0.54,104,108
0.45,211,218
0.55,104,108
0.62,49,52
0.58,104,108
0.61,50,53
1.34,642,662
1.45,50,53
1.52,265,274
1.53,50,53
1.71,642,662
1.60,104,108
1.37,481,496
1.39,210,217
1.29,266,275
1.33,49,52
1.59,320,331
1.58,49,52
1.63,535,552
1.48,211,218
1.47,49,52
1.43,50,53
1.41,104,108
1.40,50,53
1.78,589,608
2.02,373,385
1.97,103,107
1.97,104,108
1.77,373,385
1.77,265,274
1.66,696,718
1.63,50,53
1.55,265,274
1.46,103,107
1.55,104,108
1.58,103,107
0.91,966,996
0.95,50,53
0.87,373,385
0.86,265,274
0.83,104,108
0.80,49,52
0.95,319,330
0.98,50,53
0.96,212,220
0.96,373,385
0.97,319,330
0.79,319,330
0.97,373,385
0.91,319,330
0.95,212,220
0.92,103,107
0.90,481,496
0.87,104,108
0.82,264,273
0.86,50,53
0.78,212,220
0.99,372,384
0.95,212,220
0.93,49,52
0.89,104,108
0.91,481,496
0.89,265,274
0.93,49,52
0.90,104,108
1.05,265,274
1.10,319,330
1.15,211,218
1.09,643,663
1.13,265,274
1.12,49,52
1.17,50,53
1.16,104,108
1.10,211,218
1.14,319,330
1.11,103,107
1.14,319,330
1.14,266,275
1.16,103,107
1.10,211,218
1.12,212,220
1.12,912,940
1.15,211,219
1.13,103,107
1.19,643,663
1.26,49,52
1.33,266,275
1.35,318,329
1.35,266,275
1.35,49,52
1.29,212,220
1.26,319,330
1.25,104,108
1.30,49,52
1.24,104,108
1.19,265,274
1.32,211,219
1.56,212,220
2.43,373,385
2.18,103,107
1.92,212,219
1.95,103,107
2.79,319,330
2.18,212,220
1.92,103,107
2.19,750,773
2.15,265,274
1.88,642,662
1.82,211,219
1.61,265,274
1.62,104,108
1.54,157,163
1.40,535,552
1.31,211,218
1.22,104,108
1.11,265,274
0.95,588,607
0.84,266,275
0.74,103,107
1.15,265,274
0.62,211,219
0.39,212,220
0.49,103,107
0.10,642,662
0.08,481,496
0.09,104,108
0.47,750,773
0.55,588,607
0.64,265,274
0.77,104,108
0.85,103,107
0.81,104,108
0.77,264,273
0.77,535,552
0.77,318,329
0.72,374,386
0.67,264,273
0.94,479,494
1.06,855,881
1.14,264,273
1.05,103,107
1.17,103,107
1.07,103,107
0.92,157,163
1.00,211,218
1.38,426,439
1.56,211,218
0.89,50,53
1.08,104,108
1.08,49,52
0.92,212,219
1.13,103,107
1.39,49,52
1.06,104,108
1.10,103,107
1.23,103,107
1.15,104,108
0.97,157,163
1.01,319,329
0.94,103,107
0.92,750,772
0.92,265,274
0.97,427,440
1.00,104,108
0.90,157,163
0.83,157,163
1.15,697,718
1.20,103,107
1.01,211,218
0.92,104,108
0.86,49,52
0.90,50,53
1.17,319,329
0.90,696,717
